Fecha;Sede;Resultado;Oponente;Captain
27/9/2020;Local;G;Villarreal;Lionel Messi
1/10/2020;Visitante;G;Celta Vigo;Lionel Messi
4/10/2020;Local;E;Sevilla;Lionel Messi
17/10/2020;Visitante;P;Getafe;Lionel Messi
24/10/2020;Local;P;Real Madrid;Lionel Messi
31/10/2020;Visitante;E;Alavés;Lionel Messi
7/11/2020;Local;G;Betis;Sergio Busquets
21/11/2020;Visitante;P;Atlético Madrid;Lionel Messi
29/11/2020;Local;G;Osasuna;Lionel Messi
5/12/2020;Visitante;P;Cádiz;Lionel Messi
13/12/2020;Local;G;Levante;Lionel Messi
16/12/2020;Local;G;Real Sociedad;Lionel Messi
19/12/2020;Local;E;Valencia;Lionel Messi
22/12/2020;Visitante;G;Valladolid;Lionel Messi
29/12/2020;Local;E;Eibar;Marc-André ter Stegen
3/1/2021;Visitante;G;Huesca;Lionel Messi
6/1/2021;Visitante;G;Athletic Club;Lionel Messi
9/1/2021;Visitante;G;Granada;Lionel Messi
24/1/2021;Visitante;G;Elche;Sergio Busquets
31/1/2021;Local;G;Athletic Club;Lionel Messi
7/2/2021;Visitante;G;Betis;Sergio Busquets
13/2/2021;Local;G;Alavés;Lionel Messi
21/2/2021;Local;E;Cádiz;Lionel Messi
24/2/2021;Local;G;Elche;Lionel Messi
27/2/2021;Visitante;G;Sevilla;Lionel Messi
6/3/2021;Visitante;G;Osasuna;Lionel Messi
15/3/2021;Local;G;Huesca;Lionel Messi
21/3/2021;Visitante;G;Real Sociedad;Lionel Messi
5/4/2021;Local;G;Valladolid;Lionel Messi
10/4/2021;Visitante;P;Real Madrid;Lionel Messi
22/4/2021;Local;G;Getafe;Lionel Messi
25/4/2021;Visitante;G;Villarreal;Lionel Messi
29/4/2021;Local;P;Granada;Lionel Messi
2/5/2021;Visitante;G;Valencia;Lionel Messi
8/5/2021;Local;E;Atlético Madrid;Lionel Messi
11/5/2021;Visitante;E;Levante;Lionel Messi
16/5/2021;Local;P;Celta Vigo;Lionel Messi
22/5/2021;Visitante;G;Eibar;Sergio Busquets
