Gender,Age range,Sleep Duration Range,Total
Male,De 0 a 4 años,Menos de 6 horas,"0,09"
Male,De 0 a 4 años,Seis o siete horas,"2,21"
Male,De 0 a 4 años,Ocho o nueve horas,"18,49"
Male,De 0 a 4 años,Diez o más horas,"79,21"
Male,De 5 a 15 años,Menos de 6 horas,"0,17"
Male,De 5 a 15 años,Seis o siete horas,"4,46"
Male,De 5 a 15 años,Ocho o nueve horas,"54,68"
Male,De 5 a 15 años,Diez o más horas,"40,70"
Male,De 16 a 24 años,Menos de 6 horas,"2,08"
Male,De 16 a 24 años,Seis o siete horas,"28,42"
Male,De 16 a 24 años,Ocho o nueve horas,"58,88"
Male,De 16 a 24 años,Diez o más horas,"10,63"
Male,De 25 a 34 años,Menos de 6 horas,"3,48"
Male,De 25 a 34 años,Seis o siete horas,"42,53"
Male,De 25 a 34 años,Ocho o nueve horas,"50,06"
Male,De 25 a 34 años,Diez o más horas,"3,93"
Male,De 35 a 44 años,Menos de 6 horas,"6,88"
Male,De 35 a 44 años,Seis o siete horas,"52,43"
Male,De 35 a 44 años,Ocho o nueve horas,"38,11"
Male,De 35 a 44 años,Diez o más horas,"2,59"
Male,De 45 a 54 años,Menos de 6 horas,"7,48"
Male,De 45 a 54 años,Seis o siete horas,"49,49"
Male,De 45 a 54 años,Ocho o nueve horas,"39,10"
Male,De 45 a 54 años,Diez o más horas,"3,94"
Male,De 55 a 64 años,Menos de 6 horas,"6,46"
Male,De 55 a 64 años,Seis o siete horas,"46,41"
Male,De 55 a 64 años,Ocho o nueve horas,"39,80"
Male,De 55 a 64 años,Diez o más horas,"7,34"
Male,De 65 a 74 años,Menos de 6 horas,"9,62"
Male,De 65 a 74 años,Seis o siete horas,"30,09"
Male,De 65 a 74 años,Ocho o nueve horas,"45,77"
Male,De 65 a 74 años,Diez o más horas,"14,52"
Male,De 75 y más años,Menos de 6 horas,"14,16"
Male,De 75 y más años,Seis o siete horas,"23,90"
Male,De 75 y más años,Ocho o nueve horas,"37,15"
Male,De 75 y más años,Diez o más horas,"24,80"
Female,De 0 a 4 años,Menos de 6 horas,"0,67"
Female,De 0 a 4 años,Seis o siete horas,"2,62"
Female,De 0 a 4 años,Ocho o nueve horas,"15,55"
Female,De 0 a 4 años,Diez o más horas,"81,16"
Female,De 5 a 15 años,Menos de 6 horas,"0,31"
Female,De 5 a 15 años,Seis o siete horas,"3,02"
Female,De 5 a 15 años,Ocho o nueve horas,"55,97"
Female,De 5 a 15 años,Diez o más horas,"40,70"
Female,De 16 a 24 años,Menos de 6 horas,"1,08"
Female,De 16 a 24 años,Seis o siete horas,"26,97"
Female,De 16 a 24 años,Ocho o nueve horas,"60,40"
Female,De 16 a 24 años,Diez o más horas,"11,56"
Female,De 25 a 34 años,Menos de 6 horas,"3,63"
Female,De 25 a 34 años,Seis o siete horas,"36,64"
Female,De 25 a 34 años,Ocho o nueve horas,"55,57"
Female,De 25 a 34 años,Diez o más horas,"4,16"
Female,De 35 a 44 años,Menos de 6 horas,"5,83"
Female,De 35 a 44 años,Seis o siete horas,"49,80"
Female,De 35 a 44 años,Ocho o nueve horas,"42,21"
Female,De 35 a 44 años,Diez o más horas,"2,16"
Female,De 45 a 54 años,Menos de 6 horas,"12,41"
Female,De 45 a 54 años,Seis o siete horas,"50,12"
Female,De 45 a 54 años,Ocho o nueve horas,"34,74"
Female,De 45 a 54 años,Diez o más horas,"2,73"
Female,De 55 a 64 años,Menos de 6 horas,"16,33"
Female,De 55 a 64 años,Seis o siete horas,"44,52"
Female,De 55 a 64 años,Ocho o nueve horas,"35,76"
Female,De 55 a 64 años,Diez o más horas,"3,39"
Female,De 65 a 74 años,Menos de 6 horas,"20,85"
Female,De 65 a 74 años,Seis o siete horas,"38,62"
Female,De 65 a 74 años,Ocho o nueve horas,"34,51"
Female,De 65 a 74 años,Diez o más horas,"6,02"
Female,De 75 y más años,Menos de 6 horas,"17,28"
Female,De 75 y más años,Seis o siete horas,"32,66"
Female,De 75 y más años,Ocho o nueve horas,"31,46"
Female,De 75 y más años,Diez o más horas,"18,60"
